id,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,domestic_opening_gross,rating,foreign_market_count,genres,distributor,director,actor_1,actor_2,IMDB_link
4154796,/title/tt4154796/?ref_=bo_cso_table_1,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019,"$357,115,007",PG-13,56,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi",Walt Disney Studios Motion Pictures,Anthony Russo,Robert Downey Jr.,Chris Evans,https://pro.imdb.com/title/tt4154796
0499549,/title/tt0499549/?ref_=bo_cso_table_2,2,Avatar,"$2,790,439,092","$760,507,625",27.2%,"$2,029,931,467",72.8%,2009,"$77,025,481",PG-13,77,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",Twentieth Century Fox,James Cameron,Sam Worthington,Zoe Saldana,https://pro.imdb.com/title/tt0499549
0120338,/title/tt0120338/?ref_=bo_cso_table_3,3,Titanic,"$2,195,169,869","$659,363,944",30%,"$1,535,805,925",70%,1997,"$28,638,131",PG-13,67,"Drama
    
        Romance",Paramount Pictures,James Cameron,Leonardo DiCaprio,Kate Winslet,https://pro.imdb.com/title/tt0120338
2488496,/title/tt2488496/?ref_=bo_cso_table_4,4,Star Wars: Episode VII - The Force Awakens,"$2,068,224,036","$936,662,225",45.3%,"$1,131,561,811",54.7%,2015,"$247,966,675",PG-13,62,"Action
    
        Adventure
    
        Sci-Fi",Walt Disney Studios Motion Pictures,J.J. Abrams,Daisy Ridley,John Boyega,https://pro.imdb.com/title/tt2488496
4154756,/title/tt4154756/?ref_=bo_cso_table_5,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,"$257,698,183",PG-13,54,"Action
    
        Adventure
    
        Sci-Fi",Walt Disney Studios Motion Pictures,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,https://pro.imdb.com/title/tt4154756
0369610,/title/tt0369610/?ref_=bo_cso_table_6,6,Jurassic World,"$1,670,401,444","$652,270,625",39%,"$1,018,130,819",61%,2015,"$208,806,270",PG-13,66,"Action
    
        Adventure
    
        Sci-Fi",Universal Pictures,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,https://pro.imdb.com/title/tt0369610
6105098,/title/tt6105098/?ref_=bo_cso_table_7,7,The Lion King,"$1,656,963,790","$543,638,043",32.8%,"$1,113,325,747",67.2%,2019,"$191,770,759",PG,56,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical",Walt Disney Studios Motion Pictures,Jon Favreau,Donald Glover,Beyoncé,https://pro.imdb.com/title/tt6105098
0848228,/title/tt0848228/?ref_=bo_cso_table_8,8,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,"$207,438,708",PG-13,60,"Action
    
        Adventure
    
        Sci-Fi",Walt Disney Studios Motion Pictures,Joss Whedon,Robert Downey Jr.,Chris Evans,https://pro.imdb.com/title/tt0848228
2820852,/title/tt2820852/?ref_=bo_cso_table_9,9,Furious 7,"$1,515,048,151","$353,007,020",23.3%,"$1,162,041,131",76.7%,2015,"$147,187,040",PG-13,68,"Action
    
        Adventure
    
        Thriller",Universal Pictures,James Wan,Vin Diesel,Paul Walker,https://pro.imdb.com/title/tt2820852
4520988,/title/tt4520988/?ref_=bo_cso_table_10,10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,"$130,263,358",PG,54,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical",Walt Disney Studios Motion Pictures,Chris Buck,Kristen Bell,Idina Menzel,https://pro.imdb.com/title/tt4520988
