,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy
269,803096,Warcraft,"$47,365,290","$391,683,624","$24,166,110",PG-13,66,Universal Pictures,Duncan Jones,Travis Fimmel,Paula Patton,4,0,0,0,0,1,0,0,1,0,0
762,1473832,Bridget Jones's Baby,"$24,252,420","$187,700,000","$8,571,785",R,61,Universal Pictures,Sharon Maguire,Renée Zellweger,Gemma Jones,4,0,0,0,0,1,0,0,0,0,1
403,1293847,xXx: Return of Xander Cage,"$44,898,413","$301,219,864","$20,130,142",PG-13,55,Paramount Pictures,D.J. Caruso,Vin Diesel,Donnie Yen,3,0,1,0,0,0,0,0,1,0,0
420,2034800,The Great Wall,"$45,540,830","$289,393,001","$18,469,620",PG-13,64,Universal Pictures,Yimou Zhang,Matt Damon,Tian Jing,4,0,0,0,0,1,0,0,1,0,0
674,453451,Mr. Bean's Holiday,"$33,302,167","$198,923,741","$9,889,780",G,68,Universal Pictures,Steve Bendelack,Rowan Atkinson,Willem Dafoe,13,0,0,0,0,1,0,0,0,0,1
473,6723592,Tenet,"$45,100,000","$262,000,000","$20,200,000",PG-13,31,Warner Bros.,Christopher Nolan,John David Washington,Robert Pattinson,0,0,0,0,0,0,0,1,1,0,0
569,317198,Bridget Jones: The Edge of Reason,"$40,226,215","$224,900,703","$8,684,055",R,60,Universal Pictures,Beeban Kidron,Renée Zellweger,Colin Firth,16,0,1,0,0,1,0,0,0,0,1
713,1981128,Geostorm,"$33,700,160","$187,900,000","$13,707,376",PG-13,41,Warner Bros.,Dean Devlin,Gerard Butler,Jim Sturgess,3,0,0,0,0,0,0,1,1,0,0
717,3062096,Inferno,"$34,343,574","$185,677,685","$14,860,425",PG-13,63,Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Felicity Jones,4,1,1,1,0,0,0,0,1,0,0
298,3416828,Ice Age: Collision Course,"$64,063,008","$344,516,030","$21,373,064",PG,53,Twentieth Century Fox,Mike Thurmeier,Ray Romano,Denis Leary,4,0,1,0,1,0,0,0,0,1,0
1043,274166,Johnny English,"$28,082,366","$132,383,634","$9,134,085",PG,56,Universal Pictures,Peter Howitt,Rowan Atkinson,John Malkovich,17,0,0,0,0,1,0,0,1,0,0
649,1855325,Resident Evil: Retribution,"$42,345,531","$197,813,724","$21,052,227",R,52,Screen Gems,Paul W.S. Anderson,Milla Jovovich,Sienna Guillory,8,0,1,0,0,0,0,0,1,0,0
686,4468740,Paddington 2,"$40,891,591","$187,087,054","$11,001,961",PG,77,Warner Bros.,Paul King,Ben Whishaw,Hugh Grant,3,1,1,0,0,0,0,1,0,1,0
