,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13
0,803096,Warcraft,47365290,391683624,24166110,PG-13,66,Universal Pictures,Duncan Jones,Travis Fimmel,Paula Patton,4,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1473832,Bridget Jones's Baby,24252420,187700000,8571785,R,61,Universal Pictures,Sharon Maguire,Renée Zellweger,Gemma Jones,4,0,0,0,0,1,0,0,0,0,1,0,0,0
2,1293847,xXx: Return of Xander Cage,44898413,301219864,20130142,PG-13,55,Paramount Pictures,D.J. Caruso,Vin Diesel,Donnie Yen,3,0,1,0,0,0,0,0,1,0,0,0,0,1
3,2034800,The Great Wall,45540830,289393001,18469620,PG-13,64,Universal Pictures,Yimou Zhang,Matt Damon,Tian Jing,4,0,0,0,0,1,0,0,1,0,0,0,0,1
4,453451,Mr. Bean's Holiday,33302167,198923741,9889780,G,68,Universal Pictures,Steve Bendelack,Rowan Atkinson,Willem Dafoe,13,0,0,0,0,1,0,0,0,0,1,1,0,0
5,6723592,Tenet,45100000,262000000,20200000,PG-13,31,Warner Bros.,Christopher Nolan,John David Washington,Robert Pattinson,0,0,0,0,0,0,0,1,1,0,0,0,0,1
6,317198,Bridget Jones: The Edge of Reason,40226215,224900703,8684055,R,60,Universal Pictures,Beeban Kidron,Renée Zellweger,Colin Firth,16,0,1,0,0,1,0,0,0,0,1,0,0,0
7,1981128,Geostorm,33700160,187900000,13707376,PG-13,41,Warner Bros.,Dean Devlin,Gerard Butler,Jim Sturgess,3,0,0,0,0,0,0,1,1,0,0,0,0,1
8,3062096,Inferno,34343574,185677685,14860425,PG-13,63,Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Felicity Jones,4,1,1,1,0,0,0,0,1,0,0,0,0,1
9,3416828,Ice Age: Collision Course,64063008,344516030,21373064,PG,53,Twentieth Century Fox,Mike Thurmeier,Ray Romano,Denis Leary,4,0,1,0,1,0,0,0,0,1,0,0,1,0
10,274166,Johnny English,28082366,132383634,9134085,PG,56,Universal Pictures,Peter Howitt,Rowan Atkinson,John Malkovich,17,0,0,0,0,1,0,0,1,0,0,0,1,0
11,1855325,Resident Evil: Retribution,42345531,197813724,21052227,R,52,Screen Gems,Paul W.S. Anderson,Milla Jovovich,Sienna Guillory,8,0,1,0,0,0,0,0,1,0,0,0,0,0
12,4468740,Paddington 2,40891591,187087054,11001961,PG,77,Warner Bros.,Paul King,Ben Whishaw,Hugh Grant,3,1,1,0,0,0,0,1,0,1,0,0,1,0
13,1320261,Gulliver's Travels,42779261,194603463,6307691,PG,61,Twentieth Century Fox,Rob Letterman,Jack Black,Emily Blunt,10,1,0,0,1,0,0,0,0,1,0,0,1,0
14,2239822,Valerian and the City of a Thousand Planets,41189488,184684740,17007624,PG-13,63,STX Entertainment,Luc Besson,Dane DeHaan,Cara Delevingne,3,0,0,0,0,0,0,0,1,0,0,0,0,1
15,2333784,The Expendables 3,39322544,175335033,15879645,PG-13,51,Lionsgate,Patrick Hughes,Sylvester Stallone,Jason Statham,6,0,1,0,0,0,0,0,1,0,0,0,0,1
16,4630562,The Fate of the Furious,226008385,1009996733,98786705,PG-13,65,Universal Pictures,F. Gary Gray,Vin Diesel,Jason Statham,3,0,1,0,0,1,0,0,1,0,0,0,0,1
17,1667889,Ice Age: Continental Drift,161321843,715922939,46629259,PG,55,Twentieth Century Fox,Steve Martino,Ray Romano,Denis Leary,8,0,1,0,1,0,0,0,0,1,0,0,1,0
18,1618442,The Last Witch Hunter,27367660,119569250,10812861,PG-13,56,Lionsgate,Breck Eisner,Vin Diesel,Rose Leslie,5,0,0,0,0,0,0,0,1,0,0,0,0,1
19,385752,The Golden Compass,70107728,302127136,26125000,PG-13,64,New Line Cinema,Chris Weitz,Nicole Kidman,Daniel Craig,13,1,0,0,0,0,0,0,0,1,0,0,0,1
20,211915,Amélie,33225499,140699243,136470,R,20,Miramax,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,19,0,0,0,0,0,0,0,0,0,1,0,0,0
21,3110958,Now You See Me 2,65075540,269822066,22383146,PG-13,67,Lionsgate,Jon M. Chu,Jesse Eisenberg,Mark Ruffalo,4,0,1,0,0,0,0,0,1,0,0,0,0,1
22,2345759,The Mummy,80227895,329003712,31688375,PG-13,65,Universal Pictures,Alex Kurtzman,Tom Cruise,Sofia Boutella,3,1,0,0,0,1,0,0,1,0,0,0,0,1
23,455499,Garfield: A Tail of Two Kitties,28426747,114899223,7288977,PG,71,Twentieth Century Fox,Tim Hill,Breckin Meyer,Jennifer Love Hewitt,14,0,1,0,1,0,0,0,0,1,0,0,1,0
24,347149,Howl's Moving Castle,5576743,230636249,427987,PG,28,Walt Disney Studios Motion Pictures,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,16,0,0,0,0,0,1,0,0,1,0,0,1,0
25,1675434,The Intouchables,10198820,416389690,103507,R,49,The Weinstein Company,Olivier Nakache,François Cluzet,Omar Sy,9,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6921996,Johnny English Strikes Again,4412170,154560329,1638895,PG,65,Universal Pictures,David Kerr,Rowan Atkinson,Ben Miller,2,0,1,0,0,1,0,0,1,0,0,0,1,0
