,Title,Foreign_Gross,domestic_opening_gross,foreign_market_count,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,imdb_title_id,weighted_average_vote
0,Fantastic Four,178839854,56061504,65,15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,tt0120667,5.7
1,The Lord of the Rings: The Fellowship of the Ring,572390244,47211490,65,19,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt0120737,8.8
2,Men in Black II,251400000,52148751,28,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt0120912,6.2
3,Star Wars: Episode II - Attack of the Clones,343103230,80027814,63,18,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,tt0121765,6.5
4,Star Wars: Episode III - Revenge of the Sith,488119983,108435841,67,15,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,tt0121766,7.5
5,Shrek,220104788,42347760,45,19,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt0126029,7.8
6,Planet of the Apes,182200000,68532960,13,19,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt0133152,5.7
7,Spider-Man,418002176,114844116,83,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt0145487,7.3
8,Lara Croft: Tomb Raider,143535270,47735743,53,19,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt0146316,5.8
9,Cold Mountain,77377000,14500000,28,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,tt0159365,7.2
10,Jurassic Park III,187608934,50771645,13,19,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt0163025,5.9
11,The Sum of All Fears,75014336,31178526,27,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt0164184,6.4
12,The Lord of the Rings: The Return of the King,764425084,72629713,67,17,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt0167260,8.9
13,The Lord of the Rings: The Two Towers,600730905,62007528,66,18,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt0167261,8.7
14,Bad Boys II,134731112,46522560,26,17,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0172156,6.6
15,Minority Report,226300000,35677125,28,18,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt0181689,7.6
16,Terminator 3: Rise of the Machines,283000000,44041440,27,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,tt0181852,6.3
17,Blade II,72661713,32528016,54,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,tt0187738,6.7
18,"Monsters, Inc.",289064814,62577067,20,19,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,tt0198781,8.0
19,Moulin Rouge!,127548423,167540,64,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,tt0203009,7.6
20,The Mummy Returns,241261119,68139035,54,19,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,tt0209163,6.3
21,Amélie,140699243,136470,20,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,tt0211915,8.3
22,A.I. Artificial Intelligence,157309863,29352630,14,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,tt0212720,7.2
23,Hannibal,186600000,58003121,7,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0212985,6.8
24,Pearl Harbor,250678391,59078912,9,19,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,tt0213149,6.2
25,Gangs of New York,115960504,9100000,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0217505,7.5
26,Spy Kids,35215179,26546881,6,19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,tt0227538,5.5
27,Atlantis: The Lost Empire,101997253,329011,14,19,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,tt0230011,6.9
28,The Others,113424350,14089952,20,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,tt0230600,7.6
29,The Fast and the Furious,62767584,40089015,15,19,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt0232500,6.8
30,The Matrix Reloaded,460271476,91774413,25,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,tt0234215,7.2
31,The Mexican,81000000,20108829,7,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,tt0236493,6.1
32,Cats & Dogs,107301977,21707617,11,19,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,tt0239395,5.1
33,Dr. Dolittle 2,63151445,25037039,6,19,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,tt0240462,4.7
34,Ocean's Eleven,267300000,38107822,21,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,tt0240772,7.7
35,Harry Potter and the Sorcerer's Stone,684802149,90294621,22,19,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,tt0241527,7.6
36,The Matrix Revolutions,288030329,48475154,29,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,tt0242653,6.8
37,Bridget Jones's Diary,210386368,10733933,15,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,tt0243155,6.7
38,Stuart Little 2,105000000,15115152,27,18,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt0243585,5.5
