,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,Rating,Metascore
0,0,547,547,120667,Fantastic Four,154696080,178839854,56061504,PG-13,65,Twentieth Century Fox,Tim Story,Ioan Gruffudd,Michael Chiklis,15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,5.7,40.0
1,1,300,300,120737,The Lord of the Rings: The Fellowship of the Ring,315544750,572390244,47211490,PG-13,65,New Line Cinema,Peter Jackson,Elijah Wood,Ian McKellen,19,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,
2,2,485,485,120912,Men in Black II,193735288,251400000,52148751,PG-13,28,Sony Pictures Entertainment (SPE),Barry Sonnenfeld,Tommy Lee Jones,Will Smith,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6.2,49.0
3,3,575,575,121765,Star Wars: Episode II - Attack of the Clones,310676740,343103230,80027814,PG,63,Twentieth Century Fox,George Lucas,Hayden Christensen,Natalie Portman,18,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,6.5,54.0
4,4,499,499,121766,Star Wars: Episode III - Revenge of the Sith,380270577,488119983,108435841,PG-13,67,Twentieth Century Fox,George Lucas,Hayden Christensen,Natalie Portman,15,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,7.5,68.0
5,5,704,704,126029,Shrek,267665011,220104788,42347760,PG,45,DreamWorks Distribution,Andrew Adamson,Mike Myers,Eddie Murphy,19,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,7.8,84.0
6,6,621,621,133152,Planet of the Apes,180011740,182200000,68532960,PG-13,13,Twentieth Century Fox,Tim Burton,Mark Wahlberg,Helena Bonham Carter,19,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5.7,50.0
7,7,612,612,145487,Spider-Man,407022860,418002176,114844116,PG-13,83,Sony Pictures Entertainment (SPE),Sam Raimi,Tobey Maguire,Kirsten Dunst,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.3,73.0
8,8,582,582,146316,Lara Croft: Tomb Raider,131168070,143535270,47735743,PG-13,53,Paramount Pictures,Simon West,Angelina Jolie,Jon Voight,19,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5.8,33.0
9,9,709,709,159365,Cold Mountain,95636509,77377000,14500000,R,28,Miramax,Anthony Minghella,Jude Law,Nicole Kidman,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7.2,73.0
10,10,606,606,163025,Jurassic Park III,181171875,187608934,50771645,PG-13,13,Universal Pictures,Joe Johnston,Sam Neill,William H. Macy,19,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5.9,42.0
11,11,775,775,164184,The Sum of All Fears,118907036,75014336,31178526,PG-13,27,Paramount Pictures,Phil Alden Robinson,Ben Affleck,Morgan Freeman,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.4,45.0
12,12,240,240,167260,The Lord of the Rings: The Return of the King,377845905,764425084,72629713,PG-13,67,New Line Cinema,Peter Jackson,Elijah Wood,Viggo Mortensen,17,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8.9,94.0
13,13,318,318,167261,The Lord of the Rings: The Two Towers,342551365,600730905,62007528,PG-13,66,New Line Cinema,Peter Jackson,Elijah Wood,Ian McKellen,18,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8.7,87.0
14,14,647,647,172156,Bad Boys II,138608444,134731112,46522560,R,26,Sony Pictures Entertainment (SPE),Michael Bay,Will Smith,Martin Lawrence,17,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,38.0
15,15,330,330,181689,Minority Report,132072926,226300000,35677125,PG-13,28,Twentieth Century Fox,Steven Spielberg,Tom Cruise,Colin Farrell,18,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.6,80.0
16,16,291,291,181852,Terminator 3: Rise of the Machines,150371112,283000000,44041440,R,27,Warner Bros.,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.3,66.0
17,17,682,682,187738,Blade II,82348319,72661713,32528016,R,54,New Line Cinema,Guillermo del Toro,Wesley Snipes,Kris Kristofferson,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,
18,18,634,634,198781,"Monsters, Inc.",289916256,289064814,62577067,G,20,Walt Disney Studios Motion Pictures,Pete Docter,Billy Crystal,John Goodman,19,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,8.0,79.0
19,19,180,180,203009,Moulin Rouge!,57386607,127548423,167540,PG-13,64,Twentieth Century Fox,Baz Luhrmann,Nicole Kidman,Ewan McGregor,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.6,66.0
20,20,534,534,209163,The Mummy Returns,202019785,241261119,68139035,PG-13,54,Universal Pictures,Stephen Sommers,Brendan Fraser,Rachel Weisz,19,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6.3,48.0
21,21,20,20,211915,Amélie,33225499,140699243,136470,R,20,Miramax,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8.3,69.0
22,22,246,246,212720,A.I. Artificial Intelligence,78616689,157309863,29352630,PG-13,14,Warner Bros.,Steven Spielberg,Haley Joel Osment,Jude Law,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7.2,65.0
23,23,558,558,212985,Hannibal,165092268,186600000,58003121,R,7,Metro-Goldwyn-Mayer (MGM),Ridley Scott,Anthony Hopkins,Julianne Moore,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,57.0
24,24,504,504,213149,Pearl Harbor,198542554,250678391,59078912,PG-13,9,Walt Disney Studios Motion Pictures,Michael Bay,Ben Affleck,Kate Beckinsale,19,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,6.2,44.0
25,25,421,421,217505,Gangs of New York,77812000,115960504,9100000,R,25,Miramax,Martin Scorsese,Leonardo DiCaprio,Cameron Diaz,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,72.0
26,26,829,829,227538,Spy Kids,112719001,35215179,26546881,PG,6,Miramax,Robert Rodriguez,Alexa PenaVega,Daryl Sabara,19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5.4,71.0
27,27,524,524,230011,Atlantis: The Lost Empire,84056472,101997253,329011,PG,14,Walt Disney Studios Motion Pictures,Gary Trousdale,Michael J. Fox,Jim Varney,19,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,6.9,52.0
28,28,536,536,230600,The Others,96522687,113424350,14089952,PG-13,20,Miramax,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,
29,29,816,816,232500,The Fast and the Furious,144533925,62767584,40089015,PG-13,15,Universal Pictures,Rob Cohen,Vin Diesel,Paul Walker,19,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.8,58.0
30,30,365,365,234215,The Matrix Reloaded,281576461,460271476,91774413,R,25,Warner Bros.,Lana Wachowski,Keanu Reeves,Laurence Fishburne,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7.2,62.0
31,31,525,525,236493,The Mexican,66845033,81000000,20108829,R,7,DreamWorks Distribution,Gore Verbinski,Brad Pitt,Julia Roberts,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.1,43.0
32,32,548,548,239395,Cats & Dogs,93385515,107301977,21707617,PG,11,Warner Bros.,Lawrence Guterman,Alec Baldwin,Tobey Maguire,19,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,5.1,47.0
33,33,792,792,240462,Dr. Dolittle 2,112952899,63151445,25037039,PG,6,Twentieth Century Fox,Steve Carr,Eddie Murphy,Cedric the Entertainer,19,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4.7,49.0
34,34,432,432,240772,Ocean's Eleven,183417150,267300000,38107822,PG-13,21,Warner Bros.,Steven Soderbergh,George Clooney,Brad Pitt,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.8,74.0
35,35,201,201,241527,Harry Potter and the Sorcerer's Stone,318087620,684802149,90294621,PG,22,Warner Bros.,Chris Columbus,Daniel Radcliffe,Rupert Grint,19,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,7.6,64.0
36,36,222,222,242653,The Matrix Revolutions,139313948,288030329,48475154,R,29,Warner Bros.,Lana Wachowski,Keanu Reeves,Laurence Fishburne,17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.7,47.0
37,37,85,85,243155,Bridget Jones's Diary,71543427,210386368,10733933,R,15,Miramax,Sharon Maguire,Renée Zellweger,Colin Firth,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.7,66.0
38,38,370,370,243585,Stuart Little 2,64956806,105000000,15115152,PG,27,Sony Pictures Entertainment (SPE),Rob Minkoff,Michael J. Fox,Geena Davis,18,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,5.4,66.0
39,39,567,567,244244,Swordfish,69772969,77307444,18145632,R,13,Warner Bros.,Dominic Sena,John Travolta,Hugh Jackman,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.5,32.0
40,40,164,164,245429,Spirited Away,13750644,341716432,449839,PG,21,Walt Disney Studios Motion Pictures,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,19,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,8.6,96.0
41,41,347,347,246460,Die Another Day,160942139,271028977,47072040,PG-13,27,Metro-Goldwyn-Mayer (MGM),Lee Tamahori,Pierce Brosnan,Halle Berry,18,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.1,56.0
