,id,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,domestic_opening_gross,rating,foreign_market_count,genres,distributor,director,actor_1,actor_2,Foreign_Gross_Clean,Years_Since_Release,Domestic_Percentage_Clean
269,803096,Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%,2016,"$24,166,110",PG-13,66,"Action
    
        Adventure
    
        Fantasy",Universal Pictures,Duncan Jones,Travis Fimmel,Paula Patton,"b'$391,683,624'",4,10.8
762,1473832,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%,2016,"$8,571,785",R,61,"Comedy
    
        Drama
    
        Romance",Universal Pictures,Sharon Maguire,Renée Zellweger,Gemma Jones,"b'$187,700,000'",4,11.4
403,1293847,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017,"$20,130,142",PG-13,55,"Action
    
        Adventure
    
        Thriller",Paramount Pictures,D.J. Caruso,Vin Diesel,Donnie Yen,"b'$301,219,864'",3,13
1129,1568921,The Secret World of Arrietty,"$149,184,563","$19,587,032",13.1%,"$129,597,531",86.9%,2010,"$6,446,395",,23,"Adventure
    
        Animation
    
        Family
    
        Fantasy",Walt Disney Studios Motion Pictures,Hiromasa Yonebayashi,Bridgit Mendler,Amy Poehler,"b'$129,597,531'",10,13.1
420,2034800,The Great Wall,"$334,933,831","$45,540,830",13.6%,"$289,393,001",86.4%,2016,"$18,469,620",PG-13,64,"Action
    
        Adventure
    
        Fantasy
    
        Thriller",Universal Pictures,Yimou Zhang,Matt Damon,Tian Jing,"b'$289,393,001'",4,13.6
674,453451,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%,2007,"$9,889,780",G,68,"Comedy
    
        Family",Universal Pictures,Steve Bendelack,Rowan Atkinson,Willem Dafoe,"b'$198,923,741'",13,14.3
473,6723592,Tenet,"$307,100,000","$45,100,000",14.7%,"$262,000,000",85.3%,2020,"$20,200,000",PG-13,31,"Action
    
        Sci-Fi",Warner Bros.,Christopher Nolan,John David Washington,Robert Pattinson,"b'$262,000,000'",0,14.7
569,317198,Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",15.2%,"$224,900,703",84.8%,2004,"$8,684,055",R,60,"Comedy
    
        Drama
    
        Romance",Universal Pictures,Beeban Kidron,Renée Zellweger,Colin Firth,"b'$224,900,703'",16,15.2
713,1981128,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%,2017,"$13,707,376",PG-13,41,"Action
    
        Sci-Fi
    
        Thriller",Warner Bros.,Dean Devlin,Gerard Butler,Jim Sturgess,"b'$187,900,000'",3,15.2
717,3062096,Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%,2016,"$14,860,425",PG-13,63,"Action
    
        Adventure
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller",Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Felicity Jones,"b'$185,677,685'",4,15.6
298,3416828,Ice Age: Collision Course,"$408,579,038","$64,063,008",15.7%,"$344,516,030",84.3%,2016,"$21,373,064",PG,53,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi",Twentieth Century Fox,Mike Thurmeier,Ray Romano,Denis Leary,"b'$344,516,030'",4,15.7
1043,274166,Johnny English,"$160,466,000","$28,082,366",17.5%,"$132,383,634",82.5%,2003,"$9,134,085",PG,56,"Action
    
        Adventure
    
        Comedy",Universal Pictures,Peter Howitt,Rowan Atkinson,John Malkovich,"b'$132,383,634'",17,17.5
649,1855325,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%,2012,"$21,052,227",R,52,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller",Screen Gems,Paul W.S. Anderson,Milla Jovovich,Sienna Guillory,"b'$197,813,724'",8,17.6
686,4468740,Paddington 2,"$227,978,645","$40,891,591",17.9%,"$187,087,054",82.1%,2017,"$11,001,961",PG,77,"Adventure
    
        Comedy
    
        Family
    
        Fantasy",Warner Bros.,Paul King,Ben Whishaw,Hugh Grant,"b'$187,087,054'",3,17.9
654,1320261,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%,2010,"$6,307,691",PG,61,"Adventure
    
        Comedy
    
        Family
    
        Fantasy",Twentieth Century Fox,Rob Letterman,Jack Black,Emily Blunt,"b'$194,603,463'",10,18
698,2239822,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.2%,"$184,684,740",81.8%,2017,"$17,007,624",PG-13,63,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",STX Entertainment,Luc Besson,Dane DeHaan,Cara Delevingne,"b'$184,684,740'",3,18.2
746,2333784,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,2014,"$15,879,645",PG-13,51,"Action
    
        Adventure
    
        Thriller",Lionsgate,Patrick Hughes,Sylvester Stallone,Jason Statham,"b'$175,335,033'",6,18.3
18,4630562,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,"$98,786,705",PG-13,65,"Action
    
        Adventure
    
        Crime
    
        Thriller",Universal Pictures,F. Gary Gray,Vin Diesel,Jason Statham,"b'$1,009,996,733'",3,18.3
69,1667889,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012,"$46,629,259",PG,55,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",Twentieth Century Fox,Steve Martino,Ray Romano,Denis Leary,"b'$715,922,939'",8,18.4
1147,1618442,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%,2015,"$10,812,861",PG-13,56,"Action
    
        Adventure
    
        Fantasy",Lionsgate,Breck Eisner,Vin Diesel,Rose Leslie,"b'$119,569,250'",5,18.6
344,385752,The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%,2007,"$26,125,000",PG-13,64,"Adventure
    
        Family
    
        Fantasy",New Line Cinema,Chris Weitz,Nicole Kidman,Daniel Craig,"b'$302,127,136'",13,18.8
954,211915,Amélie,"$173,924,742","$33,225,499",19.1%,"$140,699,243",80.9%,2001,"$136,470",R,20,"Comedy
    
        Romance",Miramax,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,"b'$140,699,243'",19,19.1
421,3110958,Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%,2016,"$22,383,146",PG-13,67,"Action
    
        Adventure
    
        Comedy
    
        Crime
    
        Mystery
    
        Thriller",Lionsgate,Jon M. Chu,Jesse Eisenberg,Mark Ruffalo,"b'$269,822,066'",4,19.4
297,2345759,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%,2017,"$31,688,375",PG-13,65,"Action
    
        Adventure
    
        Fantasy
    
        Thriller",Universal Pictures,Alex Kurtzman,Tom Cruise,Sofia Boutella,"b'$329,003,712'",3,19.6
1162,455499,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%,2006,"$7,288,977",PG,71,"Adventure
    
        Animation
    
        Comedy
    
        Family",Twentieth Century Fox,Tim Hill,Breckin Meyer,Jennifer Love Hewitt,"b'$114,899,223'",14,19.8
659,347149,Howl's Moving Castle,"$236,212,992","$5,576,743",2.4%,"$230,636,249",97.6%,2004,"$427,987",PG,28,"Adventure
    
        Animation
    
        Family
    
        Fantasy",Walt Disney Studios Motion Pictures,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,"b'$230,636,249'",16,2.4
